@relation audio_features

@attribute amplitude numeric
@attribute rms numeric
@attribute zero_crossing_rate numeric
@attribute label {0, 1}

@data
4023.0,711.2305205466675,8245,1
16551.0,3437.986907597546,3639,1
12121.0,2729.7645625257423,7309,1
7235.0,849.667549370414,7796,1
4127.0,929.2739832289775,6456,1
21515.0,3818.697006694389,15706,1
9596.0,1394.6333132818909,10815,1
10018.0,2057.9052800610443,8677,1
19135.0,3223.956372033652,6179,1
14722.0,2903.736483178731,5945,1
20063.0,4305.6369474159255,8834,1
32768.0,9076.130274703566,6318,1
13407.0,1965.6841042828562,3878,0
16389.0,1913.502028607891,7422,0
32768.0,12704.211429058427,6602,0
18751.0,4203.552851332035,4731,0
20418.0,4123.619987284061,5100,0
12361.0,2761.9594110318676,11057,0
4819.0,584.1932159949399,3709,0
13682.0,2986.6177988079176,5196,0
32768.0,13788.073946782324,6124,0
6193.0,771.3471855400945,8647,0
4666.0,878.9069743152571,11734,0
32768.0,10684.906535046879,9084,0
